session_id,charging_minutes,work_energy_kwh,n_events,gap_energy_kwh,max_duration_min,has_event
2_39_123_23_2018-11-02 17:33:15.411733,61,102.90803716634673,0.0,0.0,0.0,False
2_39_123_23_2018-11-02 20:40:02.895705,119,218.43349501887002,0.0,0.0,0.0,False
2_39_123_23_2018-11-05 16:42:22.366162,77,252.1534007936508,1.0,0.3341099264705882,7.0,True
2_39_123_23_2018-11-06 06:12:47.216874,88,582.1342069444444,0.0,0.0,0.0,False
2_39_123_23_2018-11-06 17:19:37.210492,80,459.7970053221288,1.0,0.15130257352941173,5.0,True
2_39_123_23_2018-11-07 16:24:07.255283,276,958.7257901260505,1.0,0.5552211574074074,18.0,True
2_39_123_23_2018-11-08 16:02:06.013901,91,290.88580609243695,1.0,0.33574645833333333,8.0,True
2_39_123_23_2018-11-09 15:59:49.734040,120,387.45125431839404,2.0,0.6368056944444445,9.0,True
2_39_123_23_2018-11-09 23:35:26.642470,87,582.584389414099,0.0,0.0,0.0,False
2_39_123_23_2018-11-10 17:46:45.567035,29,175.29063532851737,0.0,0.0,0.0,False
2_39_123_23_2018-11-12 16:08:46.787968,130,831.6101245331465,1.0,0.5967317197712418,7.0,True
2_39_123_23_2018-11-13 15:55:46.254768,118,383.34084295051355,2.0,0.7089657175925925,9.0,True
2_39_123_23_2018-11-14 00:58:55.942402,52,79.49455765362089,0.0,0.0,0.0,False
2_39_123_23_2018-11-14 16:49:10.682064,129,838.8650405462184,1.0,0.5898722222222222,7.0,True
2_39_123_23_2018-11-15 16:00:54.079519,126,405.03102690242764,1.0,0.3556416339869281,8.0,True
2_39_123_23_2018-11-16 01:39:43.833042,121,775.2904867905056,1.0,0.6409490808823529,7.0,True
2_39_123_23_2018-11-16 15:57:21.640131,128,406.8294961484594,1.0,0.4036353174603175,10.0,True
2_39_123_23_2018-11-17 00:45:33.163917,104,659.7350541549953,0.0,0.0,0.0,False
2_39_123_23_2018-11-18 21:51:42.176388,8,13.289983333333334,0.0,0.0,0.0,False
2_39_123_23_2018-11-19 00:21:58.462386,31,52.74380049019608,0.0,0.0,0.0,False
2_39_123_23_2018-11-19 19:43:02.270674,184,1224.5183912372843,0.0,0.0,0.0,False
2_39_123_23_2018-11-20 18:40:50.808187,61,92.56702048139769,0.0,0.0,0.0,False
2_39_123_23_2018-11-20 20:56:16.590808,136,872.3242621163623,0.0,0.0,0.0,False
2_39_123_23_2018-11-21 16:38:21.366310,115,381.82644618347337,3.0,6.320715174486461,80.0,True
2_39_123_23_2018-11-25 17:13:14.390504,84,252.51665710784314,2.0,6.047476965452848,49.0,True
2_39_123_23_2018-11-26 18:21:43.162547,277,872.2968496881128,15.0,5.000389234470595,14.0,True
2_39_123_23_2018-11-27 16:00:22.013104,91,273.17957872691034,2.0,2.0044371426530985,25.0,True
2_39_123_23_2018-11-28 16:25:33.851774,128,729.628409133127,0.0,0.0,0.0,False
2_39_123_23_2018-11-29 00:55:49.294149,122,423.4520195961718,4.0,0.6014625667211329,10.0,True
2_39_123_23_2018-11-29 16:33:31.090861,146,819.7167371274624,0.0,0.0,0.0,False
2_39_123_23_2018-11-30 16:38:26.677452,142,822.4054354234001,0.0,0.0,0.0,False
2_39_123_23_2018-11-30 22:31:24.027960,13,65.00986666666667,1.0,0.3052725,6.0,True
2_39_123_23_2019-03-01 15:57:09.682113,90,283.2600155994934,1.0,0.38752739379084966,9.0,True
2_39_123_23_2019-03-03 22:09:25.699541,125,819.572994117647,1.0,0.6399331372549019,7.0,True
2_39_123_23_2019-03-04 16:02:36.943042,114,365.12140167637233,2.0,0.6838758006535948,8.0,True
2_39_123_23_2019-03-05 15:59:19.961478,88,275.26334828431374,1.0,0.35927972222222226,9.0,True
2_39_123_23_2019-03-06 00:05:25.215575,81,245.1732317343604,1.0,0.45423115740740744,17.0,True
2_39_123_23_2019-03-06 03:59:53.566560,68,466.8064830341227,0.0,0.0,0.0,False
2_39_123_23_2019-03-06 18:45:41.791362,45,131.28019224654773,1.0,0.4250137132352941,10.0,True
2_39_123_23_2019-03-07 16:01:46.019372,64,195.23252779932486,0.0,0.0,0.0,False
2_39_123_23_2019-03-08 04:08:45.832253,108,724.7654,0.0,0.0,0.0,False
2_39_123_23_2019-03-08 20:24:32.984265,135,448.03750903361345,6.0,1.495868066643324,16.0,True
2_39_123_23_2019-03-11 15:03:34.855674,119,377.06208123534964,1.0,0.42239698412698423,9.0,True
2_39_123_23_2019-03-11 23:57:28.552776,210,730.2494496424328,6.0,2.1520504330065355,25.0,True
2_39_123_23_2019-03-12 15:02:47.542967,97,304.2216495098039,1.0,0.4169980555555556,11.0,True
2_39_123_23_2019-03-13 00:04:42.138653,105,328.25920833333333,1.0,0.2941277083333333,11.0,True
2_39_123_23_2019-03-13 15:50:51.955589,223,1442.040387745098,1.0,0.9923249387254902,20.0,True
2_39_123_23_2019-03-14 15:00:13.980242,120,384.1523904607647,1.0,0.4081118055555556,9.0,True
2_39_123_23_2019-03-15 14:59:11.041497,72,216.2961038499899,1.0,0.48074911861967007,10.0,True
2_39_123_23_2019-03-18 02:52:55.234729,123,798.9099770082859,1.0,0.5508515277777779,7.0,True
2_39_123_23_2019-03-18 16:08:05.392375,97,308.02213180438844,1.0,0.47704854166666677,12.0,True
2_39_123_23_2019-03-19 02:27:35.504913,103,650.6715922619047,1.0,0.5743090972222222,8.0,True
2_39_123_23_2019-03-19 15:00:14.446500,98,306.5999834383754,1.0,0.4238617261904762,11.0,True
2_39_123_23_2019-03-20 00:26:07.811194,102,340.80301168390434,0.0,0.0,0.0,False
2_39_123_23_2019-03-20 16:00:32.604370,77,239.27293203781514,2.0,0.499144375,9.0,True
2_39_123_23_2019-03-20 23:33:51.309015,86,291.49812299750903,0.0,0.0,0.0,False
2_39_123_23_2019-03-21 14:59:31.403109,111,355.59293732492995,1.0,0.3964667361111111,9.0,True
2_39_123_23_2019-03-22 00:48:43.951273,107,330.80229852941176,1.0,0.4129770138888889,17.0,True
2_39_123_23_2019-03-22 18:57:16.986484,65,131.82336617647059,1.0,0.25881020833333335,8.0,True
2_39_123_23_2019-03-24 04:31:46.405983,55,334.4623625,1.0,0.5401082638888889,7.0,True
2_39_123_23_2019-03-25 16:34:42.215325,138,868.2548980392156,1.0,0.6748915277777777,8.0,True
2_39_123_23_2019-03-26 15:05:23.182949,96,301.35240416666664,1.0,0.3843745833333333,9.0,True
2_39_123_23_2019-03-27 00:23:07.097088,83,251.57825833333334,1.0,0.4260089186507936,15.0,True
2_39_123_23_2019-03-27 15:28:41.862495,91,283.94992916666666,1.0,0.3106847916666667,8.0,True
2_39_123_23_2019-03-27 20:17:21.177134,25,70.05177340901272,2.0,0.526860278709437,7.0,True
2_39_123_23_2019-03-28 17:17:39.765788,196,1247.9002601190475,0.0,0.0,0.0,False
2_39_123_23_2019-03-29 02:39:36.360277,107,692.9677244047618,1.0,0.5407321527777778,7.0,True
2_39_123_23_2019-03-29 20:42:42.535267,34,100.00527321428571,1.0,0.26689409722222224,7.0,True
2_39_123_23_2019-03-31 07:36:48.299563,170,1062.8264083333333,0.0,0.0,0.0,False
2_39_123_23_2019-04-01 19:44:04.044943,45,281.08051964285715,0.0,0.0,0.0,False
2_39_123_23_2019-04-02 19:06:06.487180,108,685.4060553571428,1.0,0.63961875,7.0,True
2_39_123_23_2019-04-03 16:36:29.659416,52,150.85446547619048,1.0,0.43824298611111107,10.0,True
2_39_123_23_2019-04-04 14:58:06.694477,125,405.9373967006033,1.0,0.38669034722222223,9.0,True
2_39_123_23_2019-04-04 20:33:16.085581,76,243.7827531512605,0.0,0.0,0.0,False
2_39_123_23_2019-04-04 22:26:02.378645,69,226.60298838702147,2.0,0.5205991069483349,8.0,True
2_39_123_23_2019-04-05 16:45:46.040437,115,378.29057727860373,4.0,0.9497388299486459,15.0,True
2_39_123_23_2019-04-06 15:14:56.321267,73,238.68032962184873,1.0,0.315234375,6.0,True
2_39_123_23_2019-04-08 18:20:48.735854,124,662.7254916666667,1.0,1.0715667851307191,20.0,True
2_39_123_23_2019-04-08 23:26:13.006850,31,49.984953386809266,0.0,0.0,0.0,False
2_39_123_23_2019-04-09 16:10:58.362137,85,281.97846805555554,4.0,0.8221914351851852,12.0,True
2_39_123_23_2019-04-10 20:26:44.632663,22,58.058242647058826,1.0,0.27998062500000004,7.0,True
2_39_123_23_2019-04-11 15:04:14.851321,63,193.01226735739752,1.0,0.347119285130719,8.0,True
2_39_123_23_2019-04-12 18:51:02.235842,116,376.81631684891903,0.0,0.0,0.0,False
2_39_123_23_2019-04-12 20:51:13.690449,129,855.041587084076,0.0,0.0,0.0,False
2_39_123_23_2019-04-12 23:16:42.244072,121,377.08659660364145,3.0,0.6101933695144726,11.0,True
2_39_123_23_2019-04-13 16:52:05.754033,114,731.3917530354449,1.0,0.7237395833333334,18.0,True
2_39_123_23_2019-04-15 16:45:55.887332,113,408.9998443627451,3.0,1.6517607557189542,26.0,True
2_39_123_23_2019-04-16 18:14:21.662895,58,115.42948413865547,2.0,0.5397057638888889,8.0,True
2_39_123_23_2019-04-18 20:54:55.736636,31,56.21314093137255,0.0,0.0,0.0,False
2_39_123_23_2019-04-18 22:08:29.209358,81,266.0851838585434,1.0,0.17246131944444443,7.0,True
2_39_123_23_2019-04-19 16:47:23.518645,100,331.65343790849676,2.0,0.49823006944444437,8.0,True
2_39_123_23_2019-04-22 14:58:02.631982,69,215.41527142857143,1.0,0.39161131944444444,8.0,True
2_39_123_23_2019-04-22 23:37:41.626688,56,166.72800833333332,2.0,0.6716526388888888,10.0,True
2_39_123_23_2019-04-23 15:02:14.009386,97,306.5270199929972,1.0,0.38692433006535953,9.0,True
2_39_123_23_2019-04-24 16:12:32.625931,198,645.9752056372549,1.0,0.2850811111111111,7.0,True
2_39_123_23_2019-04-24 20:27:57.820955,43,111.44530833333333,1.0,0.5548911111111111,15.0,True
2_39_123_23_2019-04-25 14:56:24.973276,107,343.2880666666667,1.0,0.40026284722222216,9.0,True
2_39_123_23_2019-04-26 14:58:31.347500,111,357.94198970588235,1.0,0.29833483796296295,7.0,True
2_39_123_23_2019-04-29 20:22:00.051779,87,295.8260488095238,1.0,0.24222756944444443,5.0,True
2_39_123_23_2019-04-29 22:15:17.972618,183,1268.3703332516338,0.0,0.0,0.0,False
2_39_123_23_2019-04-30 15:50:13.833702,81,476.17257727272727,0.0,0.0,0.0,False
2_39_123_23_2019-04-30 17:33:08.771760,131,441.26972495421245,6.0,2.401525684523809,29.0,True
2_39_123_23_2019-04-30 23:46:59.499525,15,87.46791666666667,0.0,0.0,0.0,False
2_39_123_23_2019-05-01 16:21:33.604642,96,299.06189404761903,1.0,0.3311004861111111,9.0,True
2_39_123_23_2019-05-01 21:09:06.461400,30,87.33587916666667,1.0,0.2595155555555556,7.0,True
2_39_123_23_2019-05-03 16:40:24.938897,102,344.5545,2.0,0.7264092361111112,9.0,True
2_39_123_23_2019-05-06 16:22:21.991037,87,276.10094166666664,1.0,0.24792138888888887,6.0,True
2_39_123_23_2019-05-07 16:19:32.714612,106,351.91894044117646,1.0,0.45163423611111114,9.0,True
2_39_123_23_2019-05-08 16:35:02.905697,112,377.60237916666665,1.0,0.34553500000000004,9.0,True
2_39_123_23_2019-05-09 20:28:05.156721,36,109.0050863095238,1.0,0.24996673611111112,7.0,True
2_39_123_23_2019-05-10 14:56:56.061762,84,266.11792083333336,2.0,0.4582904861111111,8.0,True
2_39_123_23_2019-05-10 23:55:33.765469,41,116.93978333333334,1.0,0.375713125,13.0,True
2_39_123_23_2019-05-11 18:43:31.655175,32,55.08242114845938,0.0,0.0,0.0,False
2_39_123_23_2019-05-11 20:30:58.673491,31,55.37899754901961,0.0,0.0,0.0,False
2_39_123_23_2019-05-13 16:10:22.328837,69,219.2662367647059,1.0,0.3938509027777778,8.0,True
2_39_123_23_2019-05-14 16:16:13.425370,100,336.9074757352941,2.0,0.48808752450980386,8.0,True
2_39_123_23_2019-05-16 15:07:55.722587,75,231.2350625,2.0,0.6304526388888889,9.0,True
2_39_123_23_2019-05-17 01:42:03.103207,53,365.1512488095238,0.0,0.0,0.0,False
2_39_123_23_2019-05-17 15:00:22.688625,93,296.18686388888887,2.0,0.6243451388888888,9.0,True
2_39_123_23_2019-05-17 23:16:51.536057,96,315.6639916666667,1.0,0.3294702777777777,5.0,True
2_39_123_23_2019-05-20 15:00:27.039601,66,206.33500416666666,2.0,0.8932716666666666,25.0,True
2_39_123_23_2019-05-21 15:05:11.192556,53,155.92012115384614,1.0,0.4003085416666667,10.0,True
2_39_123_23_2019-05-22 15:57:55.570274,239,788.7839762371615,7.0,3.78420779528478,86.0,True
2_39_123_23_2019-05-23 17:33:25.610476,93,606.3224713235294,1.0,0.6054378472222222,7.0,True
2_39_123_23_2019-05-24 16:49:45.125888,105,344.96135833333335,3.0,1.5674645833333332,43.0,True
2_39_123_23_2019-05-28 15:14:43.486918,89,281.3940125,1.0,0.4241106250000001,9.0,True
2_39_123_23_2019-05-29 15:56:22.262236,93,296.29241348039216,2.0,1.6525941966230935,33.0,True
2_39_123_23_2019-05-30 15:07:18.632138,98,314.10030367647056,1.0,0.3898145833333334,8.0,True
2_39_123_23_2019-05-31 15:02:11.447760,78,245.37567092760182,1.0,0.3524740972222222,8.0,True
2_39_123_23_2019-08-01 16:55:40.693463,224,1442.4641140522876,0.0,0.0,0.0,False
2_39_123_23_2019-08-02 01:00:27.196631,280,956.2544309320624,7.0,2.6444723080065353,49.0,True
2_39_123_23_2019-08-02 20:32:37.659159,75,237.95593333333332,1.0,0.2963205555555556,7.0,True
2_39_123_23_2019-08-05 19:10:44.883585,188,1184.7453448529411,0.0,0.0,0.0,False
2_39_123_23_2019-08-05 23:28:55.955571,280,966.6061480392157,8.0,4.000638656045751,63.0,True
2_39_123_23_2019-08-06 20:19:48.700480,33,74.545425,3.0,0.7990829861111111,12.0,True
2_39_123_23_2019-08-07 16:46:28.102116,135,425.1302915849673,3.0,0.8471808333333335,28.0,True
2_39_123_23_2019-08-08 17:03:01.476379,56,338.39409607843135,1.0,0.6174598611111112,7.0,True
2_39_123_23_2019-08-09 17:05:20.045424,80,477.527675,0.0,0.0,0.0,False
